Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
36.0,1,1,12.0,2,1,2,1.0,0,3.0,1,4.0,0,1,0,0.0,1,18038.0
36.0,1,1,7.0,3,2,4,5.0,0,5.0,2,3.0,0,1,0,3.0,1,21128.0
37.0,1,2,15.0,2,2,4,5.0,0,5.0,0,2.0,0,2,1,3.0,1,21020.0
54.0,1,3,14.0,3,1,4,5.0,3,3.0,1,2.0,1,1,0,2.0,3,29612.0
40.0,1,1,7.0,3,1,4,4.0,0,3.0,1,2.0,0,3,1,1.0,1,20910.0
52.0,1,1,7.0,2,2,4,4.0,0,3.0,0,3.0,0,4,1,1.0,1,21401.0
50.0,0,3,18.0,3,0,3,3.0,3,3.0,3,5.0,0,5,0,0.0,3,24208.0
49.0,1,1,7.0,2,1,3,5.0,4,5.0,0,2.0,0,4,0,2.0,0,32126.0
27.0,1,3,8.0,3,2,2,3.0,0,5.0,1,1.0,0,5,1,1.0,1,18041.0
38.0,1,1,7.0,2,2,3,5.0,1,3.0,1,3.0,0,5,1,2.0,2,24671.0
36.0,1,3,35.0,2,1,4,5.0,0,3.0,1,2.0,0,4,1,3.0,1,21108.0
28.0,1,1,14.0,2,1,3,3.0,0,3.0,2,2.0,0,4,0,1.0,1,18310.0
20.0,1,1,17.0,3,1,3,4.0,0,5.0,2,2.0,1,3,1,2.0,1,17600.0
25.0,1,3,32.0,3,1,2,3.0,1,3.0,2,2.0,0,4,0,0.0,2,21180.0
40.0,0,3,30.0,2,0,3,1.0,4,4.0,3,5.0,1,3,1,0.0,0,28194.0
30.0,1,1,32.0,1,1,4,5.0,0,4.0,0,7.0,0,3,0,3.0,1,21224.0
34.0,1,1,7.0,2,2,4,4.0,0,3.0,3,3.0,1,3,1,1.0,1,21364.0
35.0,1,1,7.0,3,2,4,4.0,1,4.0,0,3.0,0,5,0,1.0,2,23003.0
45.0,1,1,34.0,1,1,2,4.0,4,4.0,2,2.0,0,3,1,0.0,0,31704.0
35.0,1,1,29.0,2,2,2,4.0,1,3.0,0,4.0,1,4,1,1.0,2,20916.0
41.0,0,1,15.0,3,2,3,3.0,2,3.0,1,3.0,0,4,1,2.0,4,32126.0
36.0,1,1,28.0,2,1,3,4.0,1,3.0,1,3.0,1,3,0,1.0,2,22692.0
30.0,1,1,13.0,3,1,3,4.0,0,3.0,0,3.0,0,3,0,1.0,1,21809.0
50.0,1,3,18.0,3,1,3,4.0,3,3.0,0,3.0,0,4,0,2.0,3,26332.0
53.0,1,3,12.0,3,2,2,3.0,1,3.0,0,3.0,1,5,0,0.0,2,17306.0
50.0,1,1,8.0,3,2,3,3.0,2,3.0,0,3.0,1,2,1,1.0,4,32126.0
37.0,1,1,34.0,3,2,4,4.0,1,3.0,0,7.0,0,3,1,1.0,2,23915.0
32.0,0,3,27.0,3,1,3,4.0,1,3.0,0,3.0,0,2,1,1.0,2,25610.0
40.0,0,1,22.0,3,2,2,4.0,1,3.0,2,7.0,0,5,1,1.0,2,20094.0
36.0,1,3,9.0,3,1,3,4.0,3,3.0,1,1.0,0,3,1,0.0,3,22644.0
55.0,1,3,24.0,2,1,2,3.0,4,4.0,2,4.0,0,1,1,0.0,0,31835.0
36.0,1,3,25.0,3,2,4,4.0,1,5.0,1,2.0,0,3,0,1.0,2,20822.0
22.0,0,1,22.0,3,2,3,1.0,0,3.0,1,2.0,1,3,0,2.0,1,17935.0
30.0,0,3,7.0,3,1,3,4.0,3,3.0,0,3.0,0,3,1,1.0,3,26596.0
29.0,0,3,20.0,1,1,3,4.0,1,4.0,3,7.0,0,3,1,1.0,2,22545.0
30.0,0,1,8.0,3,1,2,3.0,0,3.0,2,1.0,0,4,1,0.0,1,17564.0
38.0,1,1,14.0,3,2,2,4.0,3,3.0,2,6.0,0,1,0,1.0,3,32126.0
19.0,1,1,9.0,3,1,3,3.0,0,4.0,2,2.0,0,3,1,0.0,1,16483.0
50.0,1,3,15.0,1,2,3,5.0,4,4.0,1,7.0,0,4,1,2.0,0,31798.0
30.0,0,1,31.0,2,2,4,5.0,0,3.0,2,3.0,1,3,1,3.0,1,21117.0
31.0,1,1,16.0,3,2,3,5.0,0,3.0,2,3.0,0,4,0,2.0,1,20884.0
36.0,1,1,34.0,3,1,3,5.0,0,5.0,2,3.0,0,4,1,2.0,1,21237.0
33.0,1,1,11.0,2,1,3,4.0,0,3.0,1,2.0,0,1,0,0.0,1,17911.0
37.0,0,3,14.0,3,1,3,2.0,1,5.0,0,4.0,0,1,1,1.0,2,23317.0
57.0,0,3,13.0,2,1,3,3.0,4,5.0,0,2.0,0,3,1,1.0,0,31890.0
30.0,1,3,15.0,3,2,2,3.0,0,3.0,2,2.0,0,5,0,0.0,1,16081.0
38.0,0,1,14.0,3,1,2,4.0,1,4.0,1,2.0,1,1,1,0.0,2,17133.0
55.0,1,1,15.0,2,1,3,4.0,1,3.0,3,2.0,0,2,1,1.0,2,22458.0
35.0,1,3,11.0,2,2,4,4.0,3,3.0,1,4.0,1,4,0,3.0,3,28391.0
59.0,1,2,12.0,3,2,2,3.0,0,3.0,0,1.0,0,4,1,0.0,1,17267.0
29.0,1,1,8.0,2,2,3,3.0,0,4.0,0,1.0,0,4,0,0.0,1,17703.0
36.0,1,1,14.0,2,2,4,4.0,0,4.0,3,3.0,1,3,1,2.0,1,24041.0
37.0,1,1,9.0,2,2,2,3.0,3,3.0,0,2.0,0,2,1,0.0,3,24434.0
37.0,0,3,15.0,3,2,3,3.0,3,4.0,1,2.0,0,1,1,2.0,3,23834.0
35.0,1,2,10.0,2,2,3,4.0,0,3.0,1,2.0,0,1,1,1.0,1,22415.0
40.0,1,1,13.0,2,0,3,4.0,3,4.0,3,6.0,0,3,0,2.0,3,27054.0
31.0,1,1,9.0,3,0,3,5.0,1,3.0,3,7.0,1,2,1,2.0,2,25555.0
30.0,1,3,27.0,3,2,3,4.0,1,3.0,1,4.0,0,1,1,1.0,2,25609.0
39.0,1,3,30.0,3,1,2,4.0,4,3.0,1,1.0,0,1,1,1.0,0,27031.0
31.0,0,1,11.0,3,2,3,3.0,1,5.0,3,1.0,0,1,0,2.0,2,24936.0
30.0,1,1,9.0,1,1,2,3.0,0,5.0,2,6.0,1,4,0,0.0,1,17657.0
47.0,0,3,33.0,2,2,4,5.0,1,4.0,3,2.0,0,4,1,3.0,2,26669.0
58.0,1,1,13.0,3,1,2,4.0,3,5.0,0,1.0,1,4,1,0.0,3,25008.0
31.0,1,1,12.0,1,1,3,4.0,0,5.0,1,7.0,0,5,1,2.0,1,21882.0
25.0,0,1,16.0,3,2,3,4.0,0,5.0,3,4.0,1,3,0,2.0,1,21850.0
45.0,0,1,8.0,3,2,3,4.0,4,3.0,0,1.0,0,4,1,0.0,0,31792.0
22.0,0,1,9.0,2,2,2,4.0,0,3.0,1,1.0,1,3,0,1.0,1,17853.0
50.0,0,1,8.0,3,1,1,3.0,4,5.0,1,3.0,0,3,0,0.0,0,32126.0
29.0,1,1,15.0,2,1,4,4.0,0,3.0,3,3.0,0,4,0,2.0,1,21988.0
43.0,1,1,15.0,2,2,3,4.0,0,3.0,3,6.0,0,1,1,2.0,1,22646.0
30.0,0,3,9.0,2,2,4,4.0,1,3.0,0,3.0,0,2,1,2.0,2,23327.0
59.0,1,1,9.0,1,1,4,5.0,3,3.0,1,2.0,0,5,0,1.0,3,21050.0
49.0,1,1,22.0,3,1,3,3.0,0,5.0,1,5.0,1,1,1,1.0,1,17587.0
35.0,0,1,6.0,3,2,3,3.0,0,5.0,0,5.0,0,2,0,1.0,1,17194.0
35.0,0,1,10.0,2,2,3,5.0,0,3.0,1,5.0,0,1,0,1.0,1,21657.0
23.0,1,1,15.0,3,1,4,4.0,0,5.0,1,3.0,1,3,0,2.0,1,21076.0
59.0,0,3,6.0,2,1,2,4.0,1,3.0,2,1.0,0,5,1,1.0,2,20473.0
34.0,1,3,7.0,3,2,3,2.0,1,5.0,1,3.0,0,4,0,2.0,2,22715.0
28.0,1,3,15.0,3,1,3,4.0,1,4.0,0,3.0,0,2,0,1.0,2,24892.0
37.0,0,1,15.0,3,2,2,3.0,0,3.0,0,2.0,1,2,0,0.0,1,17326.0
31.0,1,1,17.0,2,2,2,3.0,0,3.0,0,4.0,1,3,1,1.0,1,17356.0
48.0,1,1,26.0,3,2,2,3.0,0,3.0,1,5.0,0,1,1,0.0,1,17259.0
55.0,1,3,19.0,3,2,2,1.0,4,3.0,2,7.0,1,3,1,1.0,0,28695.0
29.0,1,1,34.0,2,1,3,3.0,0,3.0,1,5.0,0,5,1,0.0,1,17514.0
28.0,1,1,12.0,2,1,3,4.0,0,4.0,2,3.0,1,3,0,2.0,1,21156.0
29.0,0,1,13.0,2,2,3,5.0,0,3.0,1,3.0,1,4,1,1.0,1,21381.0
37.0,1,1,8.0,0,2,3,4.0,0,3.0,2,7.0,1,3,0,0.0,1,17090.0
37.0,1,1,21.0,2,2,4,4.0,1,3.0,0,2.0,1,5,1,3.0,2,25264.0
48.0,0,3,16.0,2,2,3,6.0,4,3.0,1,2.0,0,5,1,2.0,0,31614.0
